tier1_threshold,tier2_threshold,tier3_threshold,logloss,auc,tier_0_count,tier_1_count,tier_2_count,tier_3_count,pred_mean,pred_std
0.47000000000000003,0.8,0.95,0.017037659741075302,0.9993294947368421,47295,78,71,2556,0.05188773,0.22015323
0.47000000000000003,0.8,0.9099999999999999,0.017037659741075302,0.9993294947368421,47295,78,40,2587,0.052156962,0.22096527
0.47000000000000003,0.8,0.87,0.017037659741075302,0.9993294947368421,47295,78,24,2603,0.052283116,0.22133327
0.47000000000000003,0.8,0.83,0.017037659741075302,0.9993294947368421,47295,78,8,2619,0.05239644,0.22165295
0.47000000000000003,0.75,0.95,0.017037659741075302,0.9993294947368421,47295,73,76,2556,0.051922735,0.22019666
0.47000000000000003,0.75,0.9099999999999999,0.017037659741075302,0.9993294947368421,47295,73,45,2587,0.05219197,0.22100848
0.47000000000000003,0.75,0.87,0.017037659741075302,0.9993294947368421,47295,73,29,2603,0.052318115,0.22137637
0.47000000000000003,0.65,0.75,0.017037659741075302,0.9993294947368421,47295,42,31,2632,0.052727066,0.22217467
0.47000000000000003,0.65,0.79,0.017037659741075302,0.9993294947368421,47295,42,34,2629,0.05271086,0.22213219
0.47000000000000003,0.65,0.83,0.017037659741075302,0.9993294947368421,47295,42,44,2619,0.052648436,0.2219625
0.47000000000000003,0.65,0.87,0.017037659741075302,0.9993294947368421,47295,42,60,2603,0.052535117,0.22164337
0.47000000000000003,0.65,0.9099999999999999,0.017037659741075302,0.9993294947368421,47295,42,76,2587,0.052408963,0.22127606
0.47000000000000003,0.65,0.95,0.017037659741075302,0.9993294947368421,47295,42,107,2556,0.052139733,0.22046551
0.47000000000000003,0.6,0.9099999999999999,0.017037659741075302,0.9993294947368421,47295,29,89,2587,0.052499957,0.22138813
0.47000000000000003,0.7,0.75,0.017037659741075302,0.9993294947368421,47295,55,18,2632,0.05263607,0.22206311
0.47000000000000003,0.7,0.83,0.017037659741075302,0.9993294947368421,47295,55,31,2619,0.052557435,0.22185081
0.47000000000000003,0.7,0.87,0.017037659741075302,0.9993294947368421,47295,55,47,2603,0.052444115,0.22153147
0.47000000000000003,0.7,0.9099999999999999,0.017037659741075302,0.9993294947368421,47295,55,63,2587,0.052317962,0.22116393
0.47000000000000003,0.7,0.95,0.017037659741075302,0.9993294947368421,47295,55,94,2556,0.05204873,0.22035281
0.47000000000000003,0.75,0.79,0.017037659741075302,0.9993294947368421,47295,73,3,2629,0.052493863,0.22186589
0.47000000000000003,0.75,0.83,0.017037659741075302,0.9993294947368421,47295,73,13,2619,0.05243144,0.22169597
0.47000000000000003,0.7,0.79,0.017037659741075302,0.9993294947368421,47295,55,21,2629,0.052619863,0.22202061
0.75,0.85,0.95,0.017037659741075302,0.9993294947368421,47368,16,60,2556,0.051591728,0.2200345
